	ID	Kaltmiete	Zimmer	Quadratmeter	lat	lng
1013	107619417	615.0	2.0	56.0	52.48173573676205	13.347707300932543
1014	107619460	514.0	2.5	77.18	52.52012972546636	13.164546187059535
1015	107619534	2265.36	4.0	146.19	52.53436992498762	13.380109480707167
1016	107619566	2203.95	4.0	144.55	52.53436992498762	13.380109480707167
1017	107619603	2127.55	4.0	132.95	52.53436992498762	13.380109480707167
1018	107619641	1744.83	3.0	109.9	52.53436992498762	13.380109480707167
1019	107619824	2191.35	4.0	132.85	52.53464982720575	13.380878811535963
1020	107619864	2006.02	4.0	118.05	52.53464982720575	13.380878811535963
1021	107619920	1914.45	4.0	117.88	52.53464982720575	13.380878811535963
1022	107619968	1860.18	4.0	116.25	52.53464982720575	13.380878811535963
1023	107620092	1124.52	3.0	93.71	52.44003118016844	13.570405415469367
1024	107620514	1321.0	3.0	82.7	52.50825697650591	13.400335595901858
1025	107620577	752.96	2.0	63.81	52.58914885612065	13.29355748976889
1026	107620747	1999.95	3.0	111.0	52.487602636141034	13.326816491645209
1027	107622378	700.0	2.0	40.09	52.55185127317496	13.441448972456431
1028	107623048	524.07	2.0	51.76	52.544656858849336	13.604238185860899
1029	107623052	598.06	2.0	68.98	52.544476299237196	13.604478396759474
1030	107623090	1046.0	3.0	95.09	52.442575299623016	13.58448537109922
1031	107624175	1070.0	2.0	76.0	52.55087912616299	13.355779181462037
1032	107625144	1800.0	3.0	102.0	52.53012547159997	13.387995451098801
1033	107625492	598.06	2.0	68.98	52.544476299237196	13.604478396759474
1034	107625842	918.0	2.0	68.0	52.54779204900405	13.352526006230374
1035	107626964	1500.0	3.0	84.0	52.53012547159997	13.387995451098801
1036	107627222	1399.7	3.0	82.34	52.42610499775972	13.184205332545213
1037	107627299	851.4	2.0	51.6	52.43617646868947	13.542048008791422
1038	107627427	3453.0	5.0	222.0	52.509888926216725	13.397136513497589
1039	107627585	621.35	1.0	28.9	52.43617646868947	13.542048008791422
1040	107627591	951.0	2.0	63.4	52.43617646868947	13.542048008791422
1041	107629569	820.0	2.0	76.0	52.58842366203335	13.40155916799727
1042	107632505	699.0	1.0	40.56	52.51818918922789	13.305417883228158
1043	107632506	629.0	1.0	28.81	52.51818918922789	13.305417883228158
1044	107632509	529.0	1.5	53.74	52.538796039250855	13.60206530428484
1045	107633104	4400.0	3.0	204.0	52.53417320575184	13.399988895122977
1046	107635035	2250.0	5.0	165.0	52.562260917704336	13.414693534454884
1047	107638241	2200.0	3.5	97.5	52.49412733697874	13.436069297102614
1048	107639013	617.5	2.0	65.0	52.437201789955736	13.327906301061917
1049	107646826	3720.0	6.0	155.0	52.534723535649405	13.380195719803577
1050	107647144	850.0	2.0	62.0	52.54992733591317	13.4488053182254
1051	107649346	634.54	2.0	64.03	52.550355669868146	13.200689374932635
1052	107650119	900.0	2.0	56.0	52.49530279686447	13.32763521862647
1053	107650867	750.0	2.0	88.0	52.622034051386315	13.314487886265983
1054	107659407	1698.0	3.0	89.9	52.49455438525122	13.473478548612162
1055	107661253	524.07	2.0	51.76	52.544476299237196	13.604478396759474
1056	107661256	461.25	1.5	58.46	52.54527559650781	13.1845062266319
1057	107661257	495.9	1.5	58.0	52.549031801872026	13.18466530881692
1058	107661912	656.48	2.0	59.68	52.58576618837019	13.402258740789387
1059	107662489	734.62	2.0	63.88	52.41476379211573	13.361407936424046
